chapter,word,translation
code,密码
maximum,最大的
coconut,椰子
mould,模具
machinery,机械化的
elastic,有弹性的
vertical,垂直的
accountable,有责任的
decisions,决定
seasonal,季节的
herds,群
clay,黏土
eco-cement,生态水泥
nuts,坚果
arrows,箭头
spears,矛
concentrated,注意的
shipping,运输
segments,部分
germs,细菌
corn,玉米
insects,昆虫
coastline,海岸线
critical,批判的，核心的
cognition,认识
emotion,感情
intelligence,情报，智力
connected,连接的
self-centred,自我的
passive,消极的，被动的
stimulation,刺激，鼓励
lid,盖子
gravity,重力
stems,茎
obstacles,困难
mechanism,进程，机械装置
seminar,研讨会
drought,干旱
erosion,腐蚀
digestion,消化
furniture,家具
retail,零售
maturity,成熟
postal,邮政的
self-evaluation,自我评估
random,随机的
cost-effective,性价比高的
navigate,航行
genetic,基因的
density,密度
triangle,三角
cliffs,悬崖
comprehension,理解
format,格式
irrigation,灌溉
contaminants,污染物
soldiers,士兵
concrete,混凝土
lifespan,寿命
therapy,疗法，理疗
temperature,温度
fluids,液体
kidney,肾
sustainable,可忍受的
portable,便携的
excitement,激动
mammal,哺乳动物
breathe,呼吸
pollutants,污染物
guidelines,方针政策
mapping,制图
calculator,计算器
perfumes,香水
exploration,探索
toothache,牙痛
pirates,海盗
powder,粉
cosmetics,化妆品
carpets,地毯
tunnel,隧道
packaging,打包
worms,虫子
odor,气味
butterflies,蝴蝶
bacteria,细菌
protein,蛋白质
migration,迁徙
morality,道德
situational,环境造成的
aspirations,渴望
amber,琥珀
tolerance,容忍
contribution,贡献
humidity,潮湿度
barrier,阻碍
tuna,金枪鱼
gill,鳃
cables,电缆
oyster,生蚝
guessing,推测
relaxation,放松
concentration,注意力
literacy,读写能力
predators,捕食者
molt,脱毛
diversity,多样性
cement,水泥
cognitive,认知的
peers,同龄人
rational,理性的
willing,意愿的
instinct,天性，本能
reward,报酬
boiler,水壶
monument,纪念堂
drawback,缺点
obligation,义务
responsibility,责任
rags,破布
rainbow,彩虹
desert,沙漠
lizard,蜥蜴
institution,机构
authority,权威
shrimps,虾
moisture,潮湿
ultraviolet,紫外线
bubble,气泡
passion,激情
responsible,负责的
landmarks,路标
robots,机器人
psychology,心理学
varied,变化的
planet,星球
ethnics,人种学，少数民族
nomad,游牧民族
eggplant,茄子
camel,骆驼
slaves,奴隶
vegetation,植被
lighting,灯光
fossil,化石
grocery,杂货店
numerous,很多的
repellent,排斥的，驱虫剂
odd,古怪的
factual,事实的
purple,紫色
consolidation,巩固
conscious,有意识的
auditory,听觉
symptom,症状
medication,药物治疗
intimate,亲密的
nightmare,噩梦
teaspoon,茶匙
beetroot,甜菜根
retrieval,检索
prompt,促使，激励，迅速的，敏捷的
impairment,损害
autism,自闭症
autistic,患自闭症的
textile,纺织品，纺织
long-lasting,持久的
poisonous,有毒的
medal,奖章
additive,添加剂
ingredient,成分
consumer,消费者
colony,殖民地
cultivation,栽培
consumption,消费
accept,接受
emotions,情绪
purpose,目的
corn,玉米
rivals,竞争对手
complex,复杂的
segments,段
timber,木材
sustainable,可持续发展的
fertilizer,肥料
rabbit,兔子
microscope,显微镜
nutrition,营养
flavour,味道
drugs,药物
whistle,吹口哨
instinctive,本能的
critical,至关重要的
preserved,保存的
poet,诗人
antibiotic,抗生素
varied,多种多样的
wildlife,野生动物
landmark,地标
moisture,水分，潮湿
chemicals,化学品
concentrated,集中的
restrained,克制的
documentation,文档
tutorials,教程
reflective,反射的
journalism,新闻
depth,深度
remember,记得
navigational,航行的
signature,签名
evolution,进化
mapping,映射
commerce,商业
standard,标准
Greek,希腊人
dominant,占主导地位的
mixture,混合物
cosmetics,化妆品
hospitality,好客
symbols,符号
flavours,口味
enlargement,扩大
critics,评论家
protected,受保护的
infection,感染
stimulate,刺激
description,描述
lonely,孤独的
industrial,工业的
trumpet,小号
receiver,接收机
magnet,磁铁
pottery,陶器
lions,狮子
emperor,皇帝
feathers,羽毛
perfumes,香水
wealth,财富
taxes,税
saliva,唾液，口水
cleanliness,清洁度
excavation,挖掘
pumice,浮石
luxurious,豪华的
physician,医师
unsanitary,不卫生的
outbreaks,爆发
craft,工艺
associations,协会
commercial,商业的
chemist,化学家
acid,酸
shelter,避难所
nectar,花蜜
disinfectant,消毒剂
ecologist,生态学家
vegetation,植被
composition,组成
nutrients,营养素
indigenous,原住的
tropical,热带的
ecosystem,生态系统
dense,茂密的
ideal,理想的
session,会议
quantity,数量
indication,指示
watermills,水车
windmills,风车
textiles,纺织品
fabrics,面料
lace,花边
ribbons,色带，缎带
enormous,巨大的
carts,购物车
numerous,众多的
canals,运河
knowledgeable,知识渊博的
retailing,零售业
entrepreneurs,企业家
visibility,能见度
potential,潜在的
explosion,爆炸
necessities,必需品
unimaginable,难以想象的
arid,干旱
charcoal,木炭
irrigation,灌溉
dependable,可靠的
livestock,家畜
notable,值得注意的
cereals,谷物
preservation,保存的
additional,额外的
initiative,主动权；主动的
protein,蛋白
original,原版的
proposal,提案
colony,群落；殖民地
phase,（电的）相，阶段
medication,药物，制剂
companionship,情谊，友谊
cement,水泥
spray,喷剂
evaporation,蒸发
stability,稳定
calculation,计算器
eclipse,日食，月食
rumor,谣言
frustration,挫折
claw,爪子
cushion,靠垫
damp,潮湿阴暗的
mobility,活动性
durable,持久的，耐用的
pharmacy,药店
manufacturing,制造的
mechanism,机制
pharmacy,药房
inscription,刻字
judo,柔道
apron,围裙
automotive,汽车的
courtyard,庭院
introductory,介绍的
rationale,基本原理，根本原因
evaluative,评价的，估值的
hawk,鹰
portrait,肖像
virtuous,道德高尚的
cognitive,感知的，认知的
obstacle,障碍
relevance,相关性
album,相册
fragile,脆弱的，易碎的
catering,餐饮
dissatisfaction,不满意
controversial,有争议的
faulty,错误的
procedure,程序
ethical,伦理的，道德的
correlation,联系，相关
hormone,激素，荷尔蒙
accessible,可接近的
sandal,凉鞋
horticulture,园艺学，园艺
sector,部门
artificial,人工的
sweetener,甜味剂
obesity,肥胖
knitting,编织
maintenance,维持，维修
pedestrian,行人
pavilion,亭子
scheme,方案
congestion,拥挤
affordable,支付得起的
skeleton,骨架
animation,动画，动画片
apprenticeship,学徒期
machinery,机器，机械
refurbishment,翻新，整修
texture,质地，质感
evolution,进化
kingfisher,翠鸟
scary,吓人的
meditation,冥想
jealousy,妒忌
initiation,入门，初学
ardent,热烈的，激情的
capitalism,资本主义
inspiration,灵感
profound,强烈的，极度的，深刻的
depression,忧郁，沮丧
resilience,弹性，复原能力
attic,阁楼
cardboard,纸板
nucleus,核
cuisine,饮食
coincidence,巧合
methodology,方法论
correlation,联系，相关
variable,变量
adolescent,青少年
enormous,大量的
barrier,障碍
intense,强烈的
collaboration,合作
nutrition,营养
maternity,母亲身份
tractor,拖拉机
packet,小包，小盒子，包装
modification,改变，修改
garment,服装
hardship,艰难
linen,亚麻，床单
hemp,麻类植物
dominance,主导，占优势
herb,草药
patio,院子，天井，平台
agenda,议事日程
rumor,谣言
pavement,人行道
fume,烟雾，气
railing,栏杆
ramp,坡道，斜坡
emission,排放，散发
extinction,灭绝
spice,香料
voyage,航海，航行
colony,殖民地
vegetation,植被
low impact,小冲击
alternative energy,新能源
roads and bridges,路和桥
high absence rate,高缺席率
persuasive writing,说服性文章
academic essays,学术论文
ocean conditions,海洋条件
study ability,学习能力
simple memories,简单回忆
information sector,信息部门
digital store,数码商店
volcanic dust,火山灰
bar code,条形码
climate change,气候变化
learning difficulty,学习障碍
reading difficulty,阅读障碍
low nutrition,缺乏营养
desert habitat,沙漠栖息地
no change,无变化
extra resources,额外资源
private property,私人财产
fruit growing,果树栽培
specialised software,专业软件
chewing gum,口香糖
water pipes,水管
big company,大公司
action plan,行动计划
window glass,窗玻璃
road building,道路建设
knife handle,刀柄
olive oil,橄榄油
goat skin,山羊皮
high temperatures,高温度
land bridge,陆桥
fresh meat,鲜肉
food intake,食物摄入
eating pattern,吃饭习惯
transport museum,交通博物馆
water tanks,水箱
government election,政府选举
car tax,购车税
food chain,食物链
textile factory,纺织厂
tea tree oil,茶树油
video cameras,摄像机
carbon dioxide,二氧化碳
global warming,全球变暖
online service,在线服务
social activities,社会活动
further training,进阶训练
internal flight,国内航线
traffic flow,车流量
short stroke,短笔画
large-scale housing,大面积住房区域
group meeting,团队会议
standard feedback,标准反馈
mission statement,任务清单
training session,训练阶段
soil damage,土壤损害
broken axe,损坏的斧子
fish bones,鱼骨
triangle-shaped,三角形的
absence rate,缺席率
green tax,环保税
transport service,运输服务
sleeping disturbance,睡眠障碍
public square,广场
feeding time,喂食时间
vertical cabin,垂直座舱
ask for apology,寻求道歉
voices and faces,声音和脸
heart rate,心率
red blood cell,红细胞
Indian tribes,印第安部落
grain pattern,谷物图案
prime motivation,主要动机
streets and roads,街道和公路
forest planet,森林星球
extra resources,额外资源
ship building,造船
natural fiber,天然纤维
melting pot,熔炉
carbon mining,碳矿
fishing lesson,钓鱼课程
known world,熟悉的世界
silver coins,银币
Roman emperor,罗马皇帝
social conformity,社会从众性
law firm,律师事务所
protective clothing,防护衣物
market share,市场 占有率
reflective practice,应激训练
habitat loss,栖息地丧失
rich experiences,丰富经历
zero noisy,无噪声的
durable contracture,持久性痉挛
land resources,陆地资源
fish farming,鱼类养殖
hospitality industry,酒店管理
time and sequence,时间和顺序
language barrier,语言障碍
wealthy people,富有的人
food prices,食物价格
presence rate,出勤率
direct route,直达路线
tracking devices,跟踪设备
operation manager,执行经理
fish hooks,鱼钩
rare glass,稀有玻璃
cooperation process,合作过程
social glue,社会黏性
carpet case,地毯箱
transport system,交通系统
hand torch,手电筒
boring content,乏味的内容
traditional lecture,传统课程
regular basis,常规基础
extreme sports,极限运动
lifestyle sports,生活方式运动
better equipment,更好的设备
traditional sports,传统运动
restricted regulations,限制规定
regular training,常规训练
individual competition,个人竞争
sense of community,社区意识
salt content,盐分含量
rice cultivation,稻株栽培
skin of frog,青蛙的皮肤
glass bottle,玻璃瓶
open roof,开放式房顶
sand base,沙基
high protein,高蛋白
fiber diet,纤维食物
constant temperature,恒温
average size,平均尺寸
good eyesight,好视力
major illness,主要的疾病
quality of life,生活质量
physical changes,物理变化
particular disease,特殊疾病
dark blue veil,深蓝色面纱
scientific backup,科学支持
migration patterns,迁徙类型
preserved remains,保留的遗迹
mineral soil,矿物质土壤
tape measure,卷尺
soft sediment,松软沉积物
plant pot,植物盆栽
estate agent,房产经纪人
botanic garden,植物园
emergency locator beacon,应急定位器信标
digestive problem,消化问题
red blood cells,红细胞
weight loss,减肥
fishing net,渔网
pigeons and rats,鸽子和老鼠
mineral soil,矿物土壤
still water,静止的水
stored temperature,储存温度
frozen food,冷冻食品
migration patterns,迁移模式
olive oil,橄榄油
goat skin,山羊皮
particular disease,特定疾病
mission statement,使命宣言
administration officer,行政官员
machines or robots,机器或机器人
smooth ride,平稳的骑
rubber tyre,橡胶轮胎
desert locations,沙漠地区
southern Scotland,苏格兰南部
head offices,总部
global market,全球市场
safe environment,安全的环境
feeding time,喂食的时候
hearing loss,听力损失
silver coins,银币
maintain the gene diversity,保持基因多样性
hinder domestic smells,阻碍内部的气味
transport costs,运输成本
ship building,造船业
cleansing properties,清洁特性
gum tree,胶树
gene diversity,基因多样性
multiple tasks,多种工作
