chapter,word,translation
task1-basic,rise,上升；增长
task1-basic,increase,增加；上升
task1-basic,grow,增长；扩大
task1-basic,fall,下降；减少
task1-basic,decrease,减少；下降
task1-basic,decline,下降；减少
task1-basic,drop,下降；骤降
task1-basic,dip,小幅下降
task1-basic,fluctuate,波动；起伏
task1-basic,remain,保持；维持
task1-basic,show,显示；表明
task1-basic,indicate,表明；显示
task1-basic,compare,比较；对比
task1-basic,contrast,对比；对照
task1-basic,represent,代表；占
task1-basic,exceed,超过；超出
task1-basic,proportion,比例；部分
task1-basic,percentage,百分比
task1-basic,figure,数字；数据
task1-basic,trend,趋势；走向
task1-basic,pattern,模式；规律
task1-basic,period,时期；阶段
task1-basic,peak,峰值；最高点
task1-basic,gap,差距；差异
task1-basic,majority,大多数
task1-basic,minority,少数
task1-basic,average,平均的
task1-basic,overall,总体的；全面的
task1-basic,gradual,逐渐的
task1-basic,steady,稳定的；持续的
task1-basic,rapid,快速的
task1-basic,slight,轻微的；少量的
task1-basic,stable,稳定的
task1-basic,annual,每年的；年度的
task1-basic,monthly,每月的
task1-basic,initial,最初的；初始的
task1-basic,final,最终的
task1-basic,double,两倍的
task1-basic,half,一半的
task1-basic,gradually,逐渐地
task1-basic,steadily,稳定地；持续地
task1-basic,rapidly,迅速地
task1-basic,slightly,轻微地；稍微
task1-basic,roughly,大约；粗略地
task1-basic,overall,总体上；总的来说
task1-basic,generally,通常；一般来说
task1-basic,respectively,分别地；各自地
task1-basic,in contrast,相比之下
task1-basic,meanwhile,与此同时
task1-basic,over the period,在此期间
task1-advanced,significant,显著的；重要的
task1-advanced,substantial,大量的；实质性的
task1-advanced,considerable,相当大的；可观的
task1-advanced,dramatic,显著的；戏剧性的
task1-advanced,sharp,急剧的；明显的
task1-advanced,steep,急剧的；陡峭的
task1-advanced,marginal,微小的；边缘的
task1-advanced,moderate,适中的；温和的
task1-advanced,notable,显著的；值得注意的
task1-advanced,comparable,可比较的；类似的
task1-advanced,dominant,占主导地位的
task1-advanced,consistent,一致的；持续的
task1-advanced,fluctuating,波动的
task1-advanced,volatile,不稳定的；波动的
task1-advanced,upward,向上的
task1-advanced,downward,向下的
task1-advanced,proportional,成比例的
task1-advanced,corresponding,相应的；对应的
task1-advanced,subsequent,随后的；后来的
task1-advanced,approximate,大约的；近似的
task1-advanced,triple,三倍的
task1-advanced,identical,完全相同的
task1-advanced,climb,攀升；上升
task1-advanced,surge,激增；猛涨
task1-advanced,soar,急剧上升；猛增
task1-advanced,jump,跳升；骤增
task1-advanced,plunge,骤降；急剧下跌
task1-advanced,level off,趋于平稳
task1-advanced,plateau,保持平稳；达到稳定期
task1-advanced,stabilize,稳定；趋于稳定
task1-advanced,account for,占（比例）；解释
task1-advanced,constitute,构成；占
task1-advanced,comprise,包含；由…组成
task1-advanced,overtake,超越；赶超
task1-advanced,illustrate,说明；展示
task1-advanced,reveal,揭示；显示
task1-advanced,demonstrate,证明；展示
task1-advanced,suggest,表明；暗示
task1-advanced,decade,十年
task1-advanced,category,类别；种类
task1-advanced,trough,低谷；最低点
task1-advanced,difference,差异；不同
task1-advanced,comparison,比较；对比
task1-advanced,distribution,分布；分配
task1-advanced,significantly,显著地；明显地
task1-advanced,substantially,大幅地；实质上
task1-advanced,considerably,相当地；大量地
task1-advanced,dramatically,显著地；急剧地
task1-advanced,sharply,急剧地；明显地
task1-advanced,steeply,急剧地；陡峭地
task1-advanced,marginally,微小地；略微
task1-advanced,moderately,适度地；温和地
task1-advanced,comparatively,相对地；比较地
task1-advanced,consistently,一致地；持续地
task1-advanced,notably,显著地；尤其
task1-advanced,particularly,尤其；特别地
task1-advanced,by contrast,相比之下
task1-advanced,in comparison,相比较而言
task1-advanced,on the other hand,另一方面
task1-advanced,thereafter,此后；之后
task1-advanced,subsequently,随后；之后
task1-advanced,over the same period,在同一时期
