chapter,word,translation
task2-basic,have different views,持有不同看法
task2-basic,be responsible for,对……负责
task2-basic,members of society,社会成员
task2-basic,play an important role,发挥重要作用
task2-basic,direct influence,直接影响
task2-basic,communicate with others,与他人交流
task2-basic,follow rules,遵守规则
task2-basic,different backgrounds,不同背景
task2-basic,work in groups,小组合作
task2-basic,take part in,参与
task2-basic,cooperation,合作
task2-basic,fairness,公平
task2-basic,stronger influence,更强的影响
task2-basic,lasting influence,持久的影响
task2-basic,early years,早年
task2-basic,spend time with,与……相处
task2-basic,tend to,倾向于
task2-basic,imitate,模仿
task2-basic,parental behaviour,父母的行为
task2-basic,be responsible,有责任感
task2-basic,be more likely to,更有可能
task2-basic,develop the same qualities,形成同样的品质
task2-basic,treat others with respect,尊重他人
task2-basic,naturally learn,自然地学会
task2-basic,behave similarly,以类似方式行事
task2-basic,ignore these values,忽视这些价值观
task2-basic,correct such behaviour,纠正这种行为
task2-basic,social rules,社会规则
task2-basic,provide opportunities,提供机会
task2-basic,main responsibility,主要责任
task2-basic,play a role in,在……中发挥作用
task2-basic,rely on,依赖
task2-basic,be affected,受到影响
task2-basic,recover from,从……中恢复
task2-basic,be controlled,得到控制
task2-basic,change public habits,改变公众习惯
task2-basic,personal responsibility,个人责任
task2-basic,proponents of,支持……的人
task2-basic,less willing to,不太愿意
task2-basic,buy them frequently,频繁购买它们
task2-basic,force consumers to,强迫消费者……
task2-basic,temporary measure,临时方案
task2-basic,long-term solution,长久之计
task2-basic,a realistic prospect,现实的前景
task2-basic,one major benefit,一个主要好处
task2-basic,have the potential to,有潜力……
task2-basic,significantly,显著地
task2-basic,react more quickly,反应更快
task2-basic,use time productively,高效利用时间
task2-basic,instead of,而不是
task2-basic,concentrate on,专注于
task2-basic,lose their jobs,失业
task2-basic,rely heavily on,严重依赖
task2-basic,be vulnerable to,容易受到……影响
task2-basic,as technology advances,随着技术进步
task2-basic,mitigate problems,缓解问题
task2-basic,outweigh the disadvantages,利大于弊
task2-basic,a major problem,一个主要问题
task2-basic,gradually lose,逐渐失去
task2-basic,appear everywhere,随处出现
task2-basic,become less visible,变得不再明显
task2-basic,not necessarily,未必
task2-basic,a better world,更美好的世界
task2-basic,under the influence of,在……影响下
task2-basic,acquire skills,获得技能
task2-basic,attain a position,获得职位
task2-basic,lead to,导致
task2-basic,change work patterns,改变工作模式
task2-basic,greater freedom,更大的自由度
task2-basic,physical presence,到场办公
task2-basic,in the office,在办公室
task2-basic,a sense of belonging,归属感
task2-basic,judge employees,评价员工
task2-basic,rather than,而不是
task2-basic,consider doing,考虑做……
task2-basic,force people to,强迫人们……
task2-basic,be unfair to,对……不公平
task2-basic,become increasingly common,日益普遍
task2-basic,appealing to the public,对公众有吸引力
task2-basic,maintain that,坚持认为
task2-basic,from this perspective,从这个角度看
task2-basic,be able to,能够
task2-basic,make informed choices,作出知情选择
task2-basic,eat and drink,吃什么和喝什么
task2-basic,switch to,转向
task2-basic,take genuine responsibility,真正承担责任
task2-basic,make communities safer,使社区更安全
task2-basic,maintain close contact with,与……保持密切联系
task2-basic,drop out,辍学
task2-basic,be involved in gangs,参与帮派活动
task2-basic,protect citizens,保护公民
task2-basic,secure employment,找到工作
task2-basic,after release,出狱后
task2-basic,on their own,单独发挥作用
task2-basic,practical approach,实际可行的方法
task2-basic,compensate for,弥补
task2-basic,gain qualifications,获得资格证书
task2-basic,too simplistic,过于简单化
task2-basic,regard A as B,把 A 视为 B
task2-basic,single solution,单一解决方案
task2-basic,almost everywhere,几乎无处不在
task2-basic,make informed choices,做出明智选择
task2-basic,support business growth,促进商业发展
task2-basic,compare options,比较选择
task2-basic,make a purchase,购买
task2-basic,more accessible,更容易获取
task2-basic,watch lectures,观看讲座
task2-basic,admittedly,不可否认
task2-basic,spread rapidly,迅速传播
task2-basic,reduce these problems,缓解这些问题
task2-basic,check information,核查信息
task2-basic,relate to,引起共鸣
task2-basic,far outweigh,远远超过
task2-basic,in terms of,就……而言
task2-basic,be essential for,对……至关重要
task2-basic,be less likely to,不太可能
task2-basic,focus only on,只关注
task2-basic,a large amount of,大量
task2-basic,be concerned about,关注
task2-basic,gradually weaken,逐渐削弱
task2-basic,after they occur,在疾病发生后
task2-basic,encourage sb to do,鼓励某人做……
task2-basic,individual,个人
task2-basic,have a responsibility to,有责任……
task2-basic,be decided according to,根据……决定
task2-basic,specific circumstances,具体情况
task2-basic,depend largely on,很大程度上取决于
task2-basic,provide care,提供照料
task2-basic,be actively involved in,积极参与
task2-basic,stay in touch with,与……保持联系
task2-basic,anytime and anywhere,随时随地
task2-basic,increasingly popular,越来越普及
task2-basic,access services,获取服务
task2-basic,effective measure,有效措施
task2-basic,open-minded,思想开放的
task2-basic,tolerant,包容的
task2-basic,move operations,转移业务
task2-argument,on the other hand,另一方面
task2-argument,by contrast,相比之下
task2-argument,a serious concern,严重问题
task2-argument,more urgent,更加紧迫
task2-argument,disturb natural balance,破坏自然平衡
task2-argument,wider in scale,影响规模更大
task2-argument,broader problems,更广泛的问题
task2-argument,have greater impact on,对……有更大影响
task2-argument,financial restrictions,经济限制
task2-argument,sustainable solution,可持续的解决方案
task2-argument,financial pressure,经济压力
task2-argument,curb consumption,减少消费
task2-argument,impose a tax,征税
task2-argument,raise prices,提高价格
task2-argument,revenue generated,税收产生的收入
task2-argument,be reinvested into,重新投入
task2-argument,state overreach,国家权力过度扩张
task2-argument,implement a sugar tax,实施糖税
task2-argument,top-down mechanism,自上而下的机制
task2-argument,reduce the intake of,减少……的摄入
task2-argument,fund healthcare,资助医疗
task2-argument,use taxation,使用税收手段
task2-argument,government intervention,政府干预
task2-argument,public money,公共资金
task2-argument,prioritise essential services,优先考虑基本服务
task2-argument,immediate concern,最直接的担忧
task2-argument,replace human labour,取代人类劳动
task2-argument,serious consequences,严重后果
task2-argument,job displacement,就业替代
task2-argument,raise concerns about,引发对……的担忧
task2-argument,reduce traffic accidents,减少交通事故
task2-argument,enhance quality of life,改善生活质量
task2-argument,distinctive character,独特特色
task2-argument,protect traditional culture,保护传统文化
task2-argument,worthwhile investment,值得的投资
task2-argument,sufficient government support,足够的政府支持
task2-argument,job satisfaction,工作满意度
task2-argument,professional achievements,职业成就
task2-argument,financial security,经济保障
task2-argument,long-term job satisfaction,长期工作满意度
task2-argument,from an employee’s perspective,从员工角度看
task2-argument,financial rewards,经济回报
task2-argument,personal fulfilment,个人成就感
task2-argument,from an employer’s perspective,从雇主角度看
task2-argument,productivity,生产力
task2-argument,weaken teamwork,削弱团队合作
task2-argument,raise the retirement age,提高退休年龄
task2-argument,valuable experience,宝贵经验
task2-argument,professional knowledge,专业知识
task2-argument,fixed retirement age,固定退休年龄
task2-argument,flexible retirement options,灵活的退休选择
task2-argument,excessive sugar intake,过量摄入糖分
task2-argument,regulatory measures,监管措施
task2-argument,healthier alternatives,更健康的替代品
