chapter,word,translation
11.3,rangers,护林员
11.3,measurement,度量，测量
11.3,voluntary,志愿的
11.3,darkroom,暗室
11.3,reflective,反馈的
11.3,portfolio,资料
11.3,fireplaces,壁炉
11.3,priority,优先
11.3,verbalization,冗长
11.3,nest,巢穴
11.3,evaporation,蒸发
11.3,hive,蜂房
11.3,conservation,保护
11.3,networkers,网络人员
11.3,ecosystem,生态系统
11.3,flexibility,灵活性
11.3,forestry,林业
11.3,literature,文学
11.3,regulator,校准器
11.3,hammer,锤子
11.3,incubator,孵化器
11.3,workforce,工作力
11.3,attachment,附件
11.3,stable,稳定的，马圈
11.3,journal,杂志
11.3,confidence,信心
11.3,craftwork,工艺品
11.3,internship,实习
11.3,workload,工作量
11.3,appendices,附件
11.3,parliament,议院
11.3,recreational,休闲的
11.3,windmill,风车磨坊
11.3,mating,交配
11.3,fabric,织物
11.3,cardiovascular,心血管的
11.3,feasibility,可行性
11.3,evaluation,预估
11.3,collaborative,合作的
11.3,simulation,仿真，模拟
11.3,coverage-lettering,新闻报道字体
11.3,precision,精密度
11.3,originality,创意，独创性
11.3,objective,客观的
11.3,nutrition,营养
11.3,pesticide,杀虫剂
11.3,fuels,燃料
11.3,weight,重量
11.3,respondents,回复者
11.3,relevant,相关的
11.3,discipline,学科，纪律
11.3,reliance,依赖
11.3,ink,墨水
11.3,tourists,游客
11.3,farming,耕作
11.3,sample,样本
11.3,village,村子
11.3,occupants,居住者
11.3,certificate,证书
11.3,referee,裁判
11.3,limitations,限制
11.3,connectives,连接词
11.3,journalists,记者
11.3,publication,出版物
11.3,informality,非正式
11.3,informative,告知的
11.3,ideal,理想的
11.3,ascent,上升
11.3,summit,山峰，首脑会议
11.3,package,包裹
11.3,firewood,柴火
11.3,stormy,暴风雨的
11.3,proportion,比例
11.3,dimension,维度
11.3,upheaval,剧变
11.3,adaptable,可适应的
11.3,evolutionary,进化论的
11.3,cognitive,认知
11.3,commitment,承诺
11.3,anatomy,解剖
11.3,counterpart,对应部分
11.3,sensitive,敏感的
11.3,adaptation,适应
11.3,implication,含义
11.3,novice,新手
11.3,potential,潜在的
11.3,annual,每年的
11.3,dismissive,轻蔑的
11.3,adaptability,适应性
11.3,pigeon,鸽子
11.3,specimen,标本
11.3,inclusion,包含
11.3,hibernation,冬眠
11.3,hormone,荷尔蒙
11.3,squirrel,松鼠
11.3,satisfaction,满意度
11.3,chronological,按时间顺序的
11.3,distracting,分散注意的
11.3,semantic,语义的
11.3,episodic,情节的
11.3,strategy,策略
11.3,procedure,过程
11.3,diploma,文凭
11.3,measurements,测量
11.3,profile,个人简历
11.3,awful,可怕的
11.3,syndrome,综合征
11.3,quotations,报价单
11.3,poverty,贫穷
11.3,amusements,娱乐活动
11.3,justice,正义
11.3,heroine,女主角
11.3,guardian,监护人
11.3,debtors,债务人
11.3,traits,特质
11.3,stereotypes,刻板印象
11.3,robust,强大的
11.3,consensus,共识
11.3,sibling,兄弟姐妹
11.3,nightmare,噩梦
11.3,envious,嫉妒的
11.3,sociable,善于交际的
11.3,harsh,严厉的
11.3,accurate,准确的
11.3,status,状态
11.3,processes,流程
11.3,rivalry,对抗
11.3,annoying,烦人的
11.3,refrigeration,冷藏
11.3,straw,稻草
11.3,sawdust,锯末
11.3,pits,坑
11.3,components,组件
11.3,manufacturers,厂商
11.3,chemicals,化学药品
11.3,competitors,竞争者
11.3,coverage,覆盖范围
11.3,graphics,图形
11.3,visual,视觉的
11.3,misleading,误导的
11.3,versions,版本
11.3,controversy,争议
11.3,ridiculous,荒谬的
11.3,assumptions,假设
11.3,editorials,社论
11.3,emotional,情感的
11.3,funding,资金
11.3,group discussion marks,小组讨论分数
11.3,middle term test,期中考试
11.3,data analysis,数据分析
11.3,photo statistics,照片统计
11.3,extra time,额外时间
11.3,communication system,通信系统
11.3,personal interest,个人兴趣
11.3,secretary of department,部门秘书
11.3,computer office,电脑办公室
11.3,past course materials,之前课程材料
11.3,international reputation,国际声誉
11.3,history research,历史调查
11.3,conference report,会议报告
11.3,ground plan,平面图
11.3,chat rooms,聊天室
11.3,computer skills,电脑技能
11.3,teaching staff,教职人员
11.3,global listening,宏观听力
11.3,eye contacts,眼神交流
11.3,card catalog,卡片目录
11.3,lack of soil,缺土
11.3,food pest,食物害虫
11.3,environmental damage,环境危害
11.3,food chain,食物链
11.3,fill in worksheet,填工作单
11.3,model guide,模范导游
11.3,video camera,摄像机
11.3,measuring equipment,测量设备
11.3,natural ability,自然能力
11.3,good effort,努力
11.3,leadership skill,领导力
11.3,accessible discussion,可参加的讨论
11.3,braking system,刹车系统
11.3,environmental issues,环境问题
11.3,management of change,改变管理
11.3,financial aids,经济援助
11.3,working style,工作类型
11.3,late submission,延迟提交
11.3,lack of research,缺乏调查
11.3,farming method,耕种方法
11.3,knowledge sharing,知识共享
11.3,uniform level,同一水平
11.3,seating capacity,载客数
11.3,picture framing,构图
11.3,packing materials,包装材料
11.3,story conference,故事会议
11.3,stage production,舞台布置
11.3,planning meeting,计划会议
11.3,videotape editor,视频编辑
11.3,population movement,人口流动
11.3,interview method,面试方法
11.3,exam preparation,备考
11.3,weaker students,差生
11.3,external organisation,外部组织
11.3,word limit,字数限制
11.3,internet connections,网络连接
11.3,professional learning,专业学习
11.3,in-class simulation,课内模拟
11.3,video recording,视频录制
11.3,plastic bottle,塑料瓶
11.3,residence hall,学生宿舍
11.3,life science,生命科学
11.3,financial planning,金融计划
11.3,medical skills,医术
11.3,customer relationship,顾客关系
11.3,department head,部门主管
11.3,interview questions,面试问题
11.3,identity card,识别卡
11.3,dress code,着装要求
11.3,preserve memories,保存记忆
11.3,show off status,炫耀地位
11.3,reflect tastes,体现品位
11.3,personal identity,个人验证
11.3,local community,当地社区
11.3,storage warehouse,仓库
11.3,social information,社会信息
11.3,creative ideas,创造性想法
11.3,living expenses,生活花费
11.3,survey methods,调查方式
11.3,flour outlet,面粉出口
11.3,permanent records,永久记录
11.3,optional course,选修课
11.3,drinking machines,饮料机
11.3,cash machine,验钞机
11.3,laundry service,洗衣服务
11.3,photocopy office,影音室
11.3,self-access lab,自主实验室
11.3,electronic directory,电子目录
11.3,text structure,文章结构
11.3,digital history,数码史
11.3,media studies,媒体学习
11.3,natural resources,自然资源
11.3,environmental projects,环境项目
11.3,global access,全球通用
11.3,listening task,听力任务
11.3,book loan,借书
11.3,compulsory course,必修课
11.3,full-time study,全职学习
11.3,flexible-time study,兼职学习
11.3,active volcano,活火山
11.3,extinct volcano,死火山
11.3,cleaning products,清理产品
11.3,placement test,分班测试
11.3,company premises,公司地址
11.3,leisure activities,休闲活动
11.3,senior advisor,高级顾问
11.3,visual aids,视觉辅助工具
11.3,fossil remains,残存化石
11.3,human interference,人为干扰
11.3,natural routine work,日常工作
11.3,coffee bar,咖啡吧
11.3,shop display,商品展示
11.3,personal service,个人服务
11.3,current study,当前研究
11.3,video approach,录像研究方法
11.3,job opportunities,工作机会
11.3,higher fees,更高价格
11.3,borrowed language,外来语
11.3,confidence building,建立自信
11.3,numeracy skill,计算能力
11.3,networking opportunities,网络机遇
11.3,research method,调查方式
11.3,audio recording,音频录制
11.3,lack of participation,缺乏参与
11.3,community reference,社区推荐信
11.3,council meeting,议会会议
11.3,renewable energy,再生资源
11.3,nuclear plants,核电站
11.3,traditional resource,传统资源
11.3,small electric equipment,小电子设备
11.3,solar panel,太阳能电池板
11.3,sports shoes,运动鞋
11.3,poor paying,报酬低的
11.3,overseas training,海外训练
11.3,no chemical reaction,无化学反应
11.3,current material,现有材料
11.3,brief notes,简要记录
11.3,supportive atmosphere,互助气氛
11.3,essential training,基本训练
11.3,university support staff,大学服务人员
11.3,background reading,背景阅读
11.3,online forum,在线论坛
11.3,soil sample,土壤样本
11.3,blood pressure,血压
11.3,stress level,压力级别
11.3,school stadiums,校体育馆
11.3,school gym,校健身房
11.3,less oxygen,缺氧
11.3,accurate date,确切日期
11.3,similar age,相似年龄
11.3,sports activities,体育活动
11.3,art institution,艺术机构
11.3,abstract design,抽象设计
11.3,largest proportion,最大比例
11.3,observation checklist,观察清单
11.3,non-observation method,非观察手段
11.3,test results,测试结果
11.3,original jewellery,原样珠宝
11.3,wood curve,木材弯曲
11.3,crisis management,危机管理
11.3,monitoring progress,监管进程
11.3,program assessment,程序评定
11.3,team building,团队建设
11.3,budget management,预算管理
11.3,finding investment,寻找投资
11.3,insufficient revenue,财政收入不足
11.3,food shortage,食物缺乏
11.3,power cut,停电
11.3,visual guidance,视觉引导
11.3,information resources,信息来源
11.3,reference letter,推荐信
11.3,flexible study time,灵活的学习时间
11.3,lab facilities,实验室设备
11.3,medicine science,医学
11.3,engine capacity,发动机容量
11.3,greater utility,更大的用处
11.3,safe car,安全车辆
11.3,extra height,额外高度
11.3,field of vision,视野
11.3,commercial applications,商业应用
11.3,economic purpose,经济目的
11.3,higher cost,更高成本
11.3,cost of insurance,保险费用
11.3,destination desert,目的地沙漠
11.3,marine desert,海洋沙漠
11.3,social interactions,社会交往
11.3,unexpected noise,未预料的噪声
11.3,unbalanced skill improvements,不平衡的技能提高
11.3,gradual way,渐进的方式
11.3,job responsibilities,工作责任
11.3,local faculty,当地部门
11.3,material background,材料背景
11.3,unanswered questions,未回答的问题
11.3,standard format,标准格式
11.3,practical knowledge,实用知识
11.3,business journalism,商务新闻
11.3,scientific term,科学术语
11.3,childish language,幼稚的语言
11.3,seed germination,种子发芽
11.3,objective matters,客观的问题
11.3,housing project,住宅项目
11.3,colors and fonts,颜色和字体
11.3,book allowance,图书津贴
11.3,open day,开放日
11.3,social reforms,社会改革
11.3,academic performance,学业成绩
11.3,household appliances,家用设备
11.3,conflicting opinions,意见冲突
