chapter,word,translation
11.1,caravan,旅行拖车；车队
11.1,navigation,导航；航行
11.1,demonstration,示范；演示；示威
11.1,candles,蜡烛
11.1,canteen,食堂；水壶
11.1,intermediate,中级的；中间的
11.1,vegetarian,素食者；素食的
11.1,campsite,露营地
11.1,helicopter,直升机
11.1,donations,捐款；捐赠物
11.1,moonlight,月光
11.1,mid-range,中档的；中等价位的
11.1,warehouse,仓库
11.1,double-grill,双烤架
11.1,researcher,研究员；研究人员
11.1,website,网站
11.1,charge,费用；收费；充电
11.1,access,通道；访问；获取
11.1,bills,账单；钞票
11.1,waitress,女服务员
11.1,excursion,短途旅行；游览
11.1,duration,持续时间；期间
11.1,elevator,电梯
11.1,postage,邮资；邮费
11.1,signature,签名；特征
11.1,liberty,自由；解放
11.1,adventure,冒险；冒险经历
11.1,automatic,自动的；自动装置
11.1,painkillers,止痛药
11.1,sailing,航行；帆船运动
11.1,keyboard,键盘
11.1,transit,运输；过境；中转
11.1,enjoyable,令人愉快的；有趣的
11.1,snowboarding,单板滑雪
11.1,landscape,风景；景观
11.1,helmet,头盔；安全帽
11.1,mask,面具；口罩；掩盖
11.1,moderate,适中的；温和的
11.1,ladder,梯子；阶梯
11.1,concentration,专注；浓度；集中
11.1,categories,类别；种类
11.1,variable,变量；可变的
11.1,sauna,桑拿浴；桑拿室
11.1,child-minding,照看儿童
11.1,racket,球拍；喧闹声
11.1,coach,教练；长途客车；辅导
11.1,handles,把手；手柄；处理
11.1,nylon,尼龙
11.1,package,包裹；套餐；打包
11.1,receipt,收据；收条
11.1,waterfall,瀑布
11.1,partner,伙伴；合伙人
11.1,voucher,代金券；凭证
11.1,gym,健身房；体育馆
11.1,laptop,笔记本电脑
11.1,yoga,瑜伽
11.1,knife,刀；餐刀
11.1,neck,脖子；颈部
11.1,mat,垫子；席子
11.1,container,容器；集装箱
11.1,buffet,自助餐；餐具柜
11.1,enlargement,扩大；放大；扩建
11.1,studio,工作室；录音室；单间公寓
11.1,critic,评论家；批评者
11.1,zoom,变焦；快速移动
11.1,lens,镜头；透镜
11.1,infrastructure,基础设施；基础建设
11.1,electricity,电；电力
11.1,resort,度假胜地；手段；诉诸
11.1,infection,感染；传染病
11.1,fountain,喷泉；源泉
11.1,vest,背心；马甲
11.1,qualification,资格；资质；学历
11.1,poverty,贫困；贫穷
11.1,expectation,期望；预期
11.1,glue,胶水；粘合剂
11.1,font,字体；字形
11.1,reliable,可靠的；可信赖的
11.1,violin,小提琴
11.1,manufacturing,制造业；生产
11.1,outfit,服装；装备；团队
11.1,shade,阴凉处；遮光物；色调
11.1,myth,神话；错误观念
11.1,harvested,收割的；收获的
11.1,opened,打开的；开放的
11.1,cleaned,清洁的；已清洗的
11.1,expanded,扩大的；扩展的
11.1,cooled,冷却的；降温的
11.1,sealed,密封的；封闭的
11.1,segment,部分；片段；细分
11.1,disability,残疾；残障
11.1,spine,脊柱；书脊；刺
11.1,pest,害虫；有害生物
11.1,laundry,洗衣店；待洗衣物
11.1,survey,调查；勘测；概述
11.1,rape,油菜；强奸
11.1,pegs,衣夹；木钉；固定
11.1,scaffold,脚手架；绞刑台
11.1,hazel,榛树；淡褐色
11.1,portrait,肖像；画像；竖向版式
11.1,symbolism,象征主义；象征手法
11.1,mud,泥；泥浆
11.1,certificate,证书；证明；执照
11.1,liquids,液体
11.1,plastic,塑料；塑料制品
11.1,storage,储存；仓储；存储空间
11.1,Sweden,瑞典
